tipo;dn;dn2;dn3;nps;od_mm;A;B;C;M;O;K_dim;E;E1;H;theta_deg;fT;K_fT;K;K_contraccion;K_expansion;referencia_K;nota
Te reductora – paso directo;150;150;90;6;168.3;;;143.0;127.0;;;;;;;0.015;20;0.3;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;150;150;90;6;168.3;;;143.0;127.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;150;150;80;6;168.3;;;143.0;124.0;;;;;;;0.015;20;0.3;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;150;150;80;6;168.3;;;143.0;124.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;150;150;65;6;168.3;;;143.0;121.0;;;;;;;0.015;20;0.3;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;150;150;65;6;168.3;;;143.0;121.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;200;200;150;8;219.1;;;178.0;168.0;;;;;;;0.014;20;0.28;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;200;200;150;8;219.1;;;178.0;168.0;;;;;;;0.015;60;0.9;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;200;200;125;8;219.1;;;178.0;162.0;;;;;;;0.014;20;0.28;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;200;200;125;8;219.1;;;178.0;162.0;;;;;;;0.016;60;0.96;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;200;200;100;8;219.1;;;178.0;156.0;;;;;;;0.014;20;0.28;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;200;200;100;8;219.1;;;178.0;156.0;;;;;;;0.017;60;1.02;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;200;200;90;8;219.1;;;178.0;152.0;;;;;;;0.014;20;0.28;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;200;200;90;8;219.1;;;178.0;152.0;;;;;;;0.018;60;1.08;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;250;250;200;10;273.0;;;216.0;203.0;;;;;;;0.014;20;0.28;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;250;250;200;10;273.0;;;216.0;203.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;250;250;150;10;273.0;;;216.0;194.0;;;;;;;0.014;20;0.28;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;250;250;150;10;273.0;;;216.0;194.0;;;;;;;0.015;60;0.9;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;250;250;125;10;273.0;;;216.0;191.0;;;;;;;0.014;20;0.28;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;250;250;125;10;273.0;;;216.0;191.0;;;;;;;0.016;60;0.96;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;250;250;100;10;273.0;;;216.0;184.0;;;;;;;0.014;20;0.28;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;250;250;100;10;273.0;;;216.0;184.0;;;;;;;0.017;60;1.02;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;300;300;250;12;323.8;;;254.0;241.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;300;300;250;12;323.8;;;254.0;241.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;300;300;200;12;323.8;;;254.0;229.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;300;300;200;12;323.8;;;254.0;229.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;300;300;150;12;323.8;;;254.0;219.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;300;300;150;12;323.8;;;254.0;219.0;;;;;;;0.015;60;0.9;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;300;300;125;12;323.8;;;254.0;216.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;300;300;125;12;323.8;;;254.0;216.0;;;;;;;0.016;60;0.96;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;350;350;300;14;355.6;;;279.0;270.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;350;350;300;14;355.6;;;279.0;270.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;350;350;250;14;355.6;;;279.0;257.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;350;350;250;14;355.6;;;279.0;257.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;350;350;200;14;355.6;;;279.0;248.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;350;350;200;14;355.6;;;279.0;248.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;350;350;150;14;355.6;;;279.0;238.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;350;350;150;14;355.6;;;279.0;238.0;;;;;;;0.015;60;0.9;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;400;400;350;16;406.4;;;305.0;305.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;400;400;350;16;406.4;;;305.0;305.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;400;400;300;16;406.4;;;305.0;295.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;400;400;300;16;406.4;;;305.0;295.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;400;400;250;16;406.4;;;305.0;283.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;400;400;250;16;406.4;;;305.0;283.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;400;400;200;16;406.4;;;305.0;273.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;400;400;200;16;406.4;;;305.0;273.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;400;400;150;16;406.4;;;305.0;264.0;;;;;;;0.013;20;0.26;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;400;400;150;16;406.4;;;305.0;264.0;;;;;;;0.015;60;0.9;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;450;450;400;18;457;;;343.0;330.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;450;450;400;18;457;;;343.0;330.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;450;450;350;18;457;;;343.0;330.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;450;450;350;18;457;;;343.0;330.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;450;450;300;18;457;;;343.0;321.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;450;450;300;18;457;;;343.0;321.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;450;450;250;18;457;;;343.0;308.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;450;450;250;18;457;;;343.0;308.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;450;450;200;18;457;;;343.0;298.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;450;450;200;18;457;;;343.0;298.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;500;500;450;20;508;;;381.0;368.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;500;500;450;20;508;;;381.0;368.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;500;500;400;20;508;;;381.0;356.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;500;500;400;20;508;;;381.0;356.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;500;500;350;20;508;;;381.0;356.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;500;500;350;20;508;;;381.0;356.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;500;500;300;20;508;;;381.0;346.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;500;500;300;20;508;;;381.0;346.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;500;500;250;20;508;;;381.0;333.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;500;500;250;20;508;;;381.0;333.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;500;500;200;20;508;;;381.0;324.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;500;500;200;20;508;;;381.0;324.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;550;550;500;22;559;;;419.0;406.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;550;550;500;22;559;;;419.0;406.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;550;550;450;22;559;;;419.0;394.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;550;550;450;22;559;;;419.0;394.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;550;550;400;22;559;;;419.0;381.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;550;550;400;22;559;;;419.0;381.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;550;550;350;22;559;;;419.0;381.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;550;550;350;22;559;;;419.0;381.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;550;550;300;22;559;;;419.0;371.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;550;550;300;22;559;;;419.0;371.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;550;550;250;22;559;;;419.0;359.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;550;550;250;22;559;;;419.0;359.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;600;600;550;24;610;;;432.0;432.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;600;600;550;24;610;;;432.0;432.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;600;600;500;24;610;;;432.0;432.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;600;600;500;24;610;;;432.0;432.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;600;600;450;24;610;;;432.0;419.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;600;600;450;24;610;;;432.0;419.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;600;600;400;24;610;;;432.0;406.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;600;600;400;24;610;;;432.0;406.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;600;600;350;24;610;;;432.0;406.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;600;600;350;24;610;;;432.0;406.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;600;600;300;24;610;;;432.0;397.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;600;600;300;24;610;;;432.0;397.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;600;600;250;24;610;;;432.0;384.0;;;;;;;0.012;20;0.24;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;600;600;250;24;610;;;432.0;384.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;650;650;600;26;660;;;495.0;483.0;;;;;;;0.0112;20;0.224;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;650;650;600;26;660;;;495.0;483.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;650;650;550;26;660;;;495.0;470.0;;;;;;;0.0112;20;0.224;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;650;650;550;26;660;;;495.0;470.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;650;650;550;26;660;;;495.0;457.0;;;;;;;0.0112;20;0.224;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;650;650;550;26;660;;;495.0;457.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;650;650;450;26;660;;;495.0;444.0;;;;;;;0.0112;20;0.224;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;650;650;450;26;660;;;495.0;444.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;650;650;400;26;660;;;495.0;432.0;;;;;;;0.0112;20;0.224;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;650;650;400;26;660;;;495.0;432.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;650;650;350;26;660;;;495.0;432.0;;;;;;;0.0112;20;0.224;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;650;650;350;26;660;;;495.0;432.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;650;650;300;26;660;;;495.0;422.0;;;;;;;0.0112;20;0.224;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;650;650;300;26;660;;;495.0;422.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;700;700;650;28;711;;;521.0;521.0;;;;;;;0.0111;20;0.222;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;700;700;650;28;711;;;521.0;521.0;;;;;;;0.0112;60;0.672;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;700;700;600;28;711;;;521.0;508.0;;;;;;;0.0111;20;0.222;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;700;700;600;28;711;;;521.0;508.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;700;700;550;28;711;;;521.0;495.0;;;;;;;0.0111;20;0.222;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;700;700;550;28;711;;;521.0;495.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;700;700;500;28;711;;;521.0;483.0;;;;;;;0.0111;20;0.222;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;700;700;500;28;711;;;521.0;483.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;700;700;450;28;711;;;521.0;470.0;;;;;;;0.0111;20;0.222;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;700;700;450;28;711;;;521.0;470.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;700;700;400;28;711;;;521.0;457.0;;;;;;;0.0111;20;0.222;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;700;700;400;28;711;;;521.0;457.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;700;700;350;28;711;;;521.0;457.0;;;;;;;0.0111;20;0.222;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;700;700;350;28;711;;;521.0;457.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;700;700;300;28;711;;;521.0;448.0;;;;;;;0.0111;20;0.222;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;700;700;300;28;711;;;521.0;448.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;750;750;700;30;762;;;559.0;546.0;;;;;;;0.011;20;0.22;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;750;750;700;30;762;;;559.0;546.0;;;;;;;0.0111;60;0.666;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;750;750;650;30;762;;;559.0;546.0;;;;;;;0.011;20;0.22;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;750;750;650;30;762;;;559.0;546.0;;;;;;;0.0112;60;0.672;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;750;750;600;30;762;;;559.0;533.0;;;;;;;0.011;20;0.22;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;750;750;600;30;762;;;559.0;533.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;750;750;550;30;762;;;559.0;521.0;;;;;;;0.011;20;0.22;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;750;750;550;30;762;;;559.0;521.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;750;750;500;30;762;;;559.0;508.0;;;;;;;0.011;20;0.22;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;750;750;500;30;762;;;559.0;508.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;750;750;450;30;762;;;559.0;495.0;;;;;;;0.011;20;0.22;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;750;750;450;30;762;;;559.0;495.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;750;750;400;30;762;;;559.0;483.0;;;;;;;0.011;20;0.22;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;750;750;400;30;762;;;559.0;483.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;750;750;350;30;762;;;559.0;483.0;;;;;;;0.011;20;0.22;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;750;750;350;30;762;;;559.0;483.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;750;750;300;30;762;;;559.0;473.0;;;;;;;0.011;20;0.22;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;750;750;300;30;762;;;559.0;473.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;750;750;250;30;762;;;559.0;460.0;;;;;;;0.011;20;0.22;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;750;750;250;30;762;;;559.0;460.0;;;;;;;0.014;60;0.84;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;800;800;750;32;813;;;597.0;584.0;;;;;;;0.0108;20;0.216;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;800;800;750;32;813;;;597.0;584.0;;;;;;;0.011;60;0.66;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;800;800;700;32;813;;;597.0;572.0;;;;;;;0.0108;20;0.216;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;800;800;700;32;813;;;597.0;572.0;;;;;;;0.0111;60;0.666;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;800;800;650;32;813;;;597.0;572.0;;;;;;;0.0108;20;0.216;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;800;800;650;32;813;;;597.0;572.0;;;;;;;0.0112;60;0.672;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;800;800;600;32;813;;;597.0;559.0;;;;;;;0.0108;20;0.216;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;800;800;600;32;813;;;597.0;559.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;800;800;550;32;813;;;597.0;546.0;;;;;;;0.0108;20;0.216;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;800;800;550;32;813;;;597.0;546.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;800;800;500;32;813;;;597.0;533.0;;;;;;;0.0108;20;0.216;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;800;800;500;32;813;;;597.0;533.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;800;800;450;32;813;;;597.0;521.0;;;;;;;0.0108;20;0.216;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;800;800;450;32;813;;;597.0;521.0;;;;;;;0.012;60;0.72;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;800;800;400;32;813;;;597.0;508.0;;;;;;;0.0108;20;0.216;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;800;800;400;32;813;;;597.0;508.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;800;800;350;32;813;;;597.0;508.0;;;;;;;0.0108;20;0.216;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;800;800;350;32;813;;;597.0;508.0;;;;;;;0.013;60;0.78;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
Te reductora – paso directo;850;850;800;34;864;;;635.0;622.0;;;;;;;0.0107;20;0.214;;;Crane: 20 fT (aprox., te recta);
Te reductora – derivación;850;850;800;34;864;;;635.0;622.0;;;;;;;0.0108;60;0.648;;;Crane: 60 fT del DN de la derivación (aprox.);"K referido a la velocidad en la derivación; usar fT de la derivación"
